pokemon_slug,move_slug,method,level
bulbasaur,acid-spray,machine,0
bulbasaur,body-slam,machine,0
bulbasaur,bullet-seed,machine,0
bulbasaur,charm,machine,0
bulbasaur,curse,machine,0
bulbasaur,curse,egg,0
bulbasaur,double-edge,machine,0
bulbasaur,endure,machine,0
bulbasaur,energy-ball,machine,0
bulbasaur,facade,machine,0
bulbasaur,false-swipe,machine,0
bulbasaur,giga-drain,machine,0
bulbasaur,grass-knot,machine,0
bulbasaur,grass-pledge,machine,0
bulbasaur,grassy-glide,machine,0
bulbasaur,grassy-terrain,machine,0
bulbasaur,growl,level-up,1
bulbasaur,growth,level-up,6
bulbasaur,helping-hand,machine,0
bulbasaur,ingrain,egg,0
bulbasaur,knock-off,machine,0
bulbasaur,leaf-storm,machine,0
bulbasaur,leech-seed,level-up,9
bulbasaur,magical-leaf,machine,0
bulbasaur,petal-dance,egg,0
bulbasaur,poison-powder,level-up,15
bulbasaur,power-whip,level-up,33
bulbasaur,protect,machine,0
bulbasaur,razor-leaf,level-up,12
bulbasaur,rest,machine,0
bulbasaur,seed-bomb,machine,0
bulbasaur,seed-bomb,level-up,18
bulbasaur,sleep-powder,level-up,15
bulbasaur,sleep-talk,machine,0
bulbasaur,sludge-bomb,machine,0
bulbasaur,solar-beam,machine,0
bulbasaur,solar-beam,level-up,36
bulbasaur,substitute,machine,0
bulbasaur,sunny-day,machine,0
bulbasaur,sweet-scent,level-up,24
bulbasaur,swords-dance,machine,0
bulbasaur,synthesis,level-up,27
bulbasaur,tackle,level-up,1
bulbasaur,take-down,machine,0
bulbasaur,take-down,level-up,21
bulbasaur,tera-blast,machine,0
bulbasaur,toxic,machine,0
bulbasaur,toxic,egg,0
bulbasaur,trailblaze,machine,0
bulbasaur,venoshock,machine,0
bulbasaur,vine-whip,level-up,3
bulbasaur,weather-ball,machine,0
bulbasaur,worry-seed,level-up,30
ivysaur,acid-spray,machine,0
ivysaur,body-slam,machine,0
ivysaur,bullet-seed,machine,0
ivysaur,charm,machine,0
ivysaur,curse,machine,0
