slug,num,name_en,name_ja,type,category,power,accuracy,pp,priority,target,short_desc_en,short_desc_ja,include
pound,1,Pound,はたく,Normal,Physical,40,100,35,0,normal,No additional effect.,長い　しっぽや　手などを　使って 相手を　はたいて　攻撃する。,○
karate-chop,2,Karate Chop,からてチョップ,Fighting,Physical,50,100,25,0,normal,High critical hit ratio.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
double-slap,3,Double Slap,おうふくビンタ,Normal,Physical,15,85,10,0,normal,Hits 2-5 times in one turn.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
comet-punch,4,Comet Punch,れんぞくパンチ,Normal,Physical,18,85,15,0,normal,Hits 2-5 times in one turn.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
mega-punch,5,Mega Punch,メガトンパンチ,Normal,Physical,80,85,20,0,normal,No additional effect.,力を　こめた　パンチで 相手を　攻撃する。,○
pay-day,6,Pay Day,ネコにこばん,Normal,Physical,40,100,20,0,normal,Scatters coins.,相手の　体に 小判を　投げつけて　攻撃する。 戦闘の　あとで　お金が　もらえる。,○
fire-punch,7,Fire Punch,ほのおのパンチ,Fire,Physical,75,100,15,0,normal,10% chance to burn the target.,炎を　こめた　パンチで 相手を　攻撃する。 やけど状態に　することが　ある。,○
ice-punch,8,Ice Punch,れいとうパンチ,Ice,Physical,75,100,15,0,normal,10% chance to freeze the target.,冷気を　こめた　パンチで 相手を　攻撃する。 こおり状態に　することが　ある。,○
thunder-punch,9,Thunder Punch,かみなりパンチ,Electric,Physical,75,100,15,0,normal,10% chance to paralyze the target.,電撃を　こめた　パンチで 相手を　攻撃する。 まひ状態に　することが　ある。,○
scratch,10,Scratch,ひっかく,Normal,Physical,40,100,35,0,normal,No additional effect.,硬く　とがった　鋭い　ツメで 相手を　ひっかいて　攻撃する。,○
vice-grip,11,Vise Grip,はさむ,Normal,Physical,55,100,30,0,normal,No additional effect.,相手を　両側から　はさんで ダメージを　あたえる。,○
guillotine,12,Guillotine,ハサミギロチン,Normal,Physical,,30,5,0,normal,OHKOs the target. Fails if user is a lower level.,大きな　ハサミで 相手を　切り裂いて　攻撃する。 当たれば　一撃で　ひんしに　する。,○
razor-wind,13,Razor Wind,かまいたち,Normal,Special,80,100,10,0,allAdjacentFoes,"Charges, then hits foe(s) turn 2. High crit ratio.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
swords-dance,14,Swords Dance,つるぎのまい,Normal,Status,,,20,0,self,Raises the user's Attack by 2.,戦いの舞を　激しく　おどって 気合を　高める。 自分の　攻撃を　ぐーんと　あげる。,○
cut,15,Cut,いあいぎり,Normal,Physical,50,95,30,0,normal,No additional effect.,カマや　ツメなどで 相手を　切りつけて　攻撃する。,○
gust,16,Gust,かぜおこし,Flying,Special,40,100,35,0,any,"Power doubles during Bounce, Fly, and Sky Drop.",翼で　おこした　激しい　風を 相手に　ぶつけて　攻撃する。,○
wing-attack,17,Wing Attack,つばさでうつ,Flying,Physical,60,100,35,0,any,No additional effect.,大きく　ひろげた　りっぱな　翼を 相手に　ぶつけて　攻撃する。,○
whirlwind,18,Whirlwind,ふきとばし,Normal,Status,,,20,-6,normal,Forces the target to switch to a random ally.,相手を　吹きとばして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,○
fly,19,Fly,そらをとぶ,Flying,Physical,90,95,15,0,any,"Flies up on first turn, then strikes the next turn.",１ターン目で　空へ　飛び ２ターン目に　相手を　攻撃する。,○
bind,20,Bind,しめつける,Normal,Physical,15,85,20,0,normal,Traps and damages the target for 4-5 turns.,長い　体や　つるなどを　使い ４ー５ターンの　間 相手を　締めつけて　攻撃する。,○
