slug,num,name_en,name_ja,type1,type2,hp,atk,def,spa,spd,spe,ability0_slug,ability1_slug,abilityH_slug,weight_kg,height_m,category,form_type,base_form_slug,fixed_item,fixed_tera_type,gender_rate,sprite_url,nfe,include
bulbasaur,1,Bulbasaur,フシギダネ,Grass,Poison,45,49,49,65,65,45,overgrow,,chlorophyll,6.9,0.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,true,○
ivysaur,2,Ivysaur,フシギソウ,Grass,Poison,60,62,63,80,80,60,overgrow,,chlorophyll,13,1,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,true,○
venusaur,3,Venusaur,フシギバナ,Grass,Poison,80,82,83,100,100,80,overgrow,,chlorophyll,100,2,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,false,○
venusaur-mega,3,Venusaur-Mega,メガフシギバナ,Grass,Poison,80,100,123,122,120,80,thick-fat,,,155.5,2.4,normal,mega,venusaur,venusaurite,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10033.png,false,○
charmander,4,Charmander,ヒトカゲ,Fire,,39,52,43,60,50,65,blaze,,solar-power,8.5,0.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,true,○
charmeleon,5,Charmeleon,リザード,Fire,,58,64,58,80,65,80,blaze,,solar-power,19,1.1,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,true,○
charizard,6,Charizard,リザードン,Fire,Flying,78,84,78,109,85,100,blaze,,solar-power,90.5,1.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,false,○
charizard-mega-x,6,Charizard-Mega-X,メガリザードンＸ,Fire,Dragon,78,130,111,130,85,100,tough-claws,,,110.5,1.7,normal,mega,charizard,charizardite-x,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10034.png,false,○
charizard-mega-y,6,Charizard-Mega-Y,メガリザードンＹ,Fire,Flying,78,104,78,159,115,100,drought,,,100.5,1.7,normal,mega,charizard,charizardite-y,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10035.png,false,○
squirtle,7,Squirtle,ゼニガメ,Water,,44,48,65,50,64,43,torrent,,rain-dish,9,0.5,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,true,○
wartortle,8,Wartortle,カメール,Water,,59,63,80,65,80,58,torrent,,rain-dish,22.5,1,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,true,○
blastoise,9,Blastoise,カメックス,Water,,79,83,100,85,105,78,torrent,,rain-dish,85.5,1.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,false,○
blastoise-mega,9,Blastoise-Mega,メガカメックス,Water,,79,103,120,135,115,78,mega-launcher,,,101.1,1.6,normal,mega,blastoise,blastoisinite,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png,false,○
beedrill,15,Beedrill,スピアー,Bug,Poison,65,90,40,45,80,75,swarm,,sniper,29.5,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,false,○
beedrill-mega,15,Beedrill-Mega,メガスピアー,Bug,Poison,65,150,40,15,80,145,adaptability,,,40.5,1.4,normal,mega,beedrill,beedrillite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png,false,○
pidgeot,18,Pidgeot,ピジョット,Normal,Flying,83,80,75,70,70,101,keen-eye,tangled-feet,big-pecks,39.5,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,false,○
pidgeot-mega,18,Pidgeot-Mega,メガピジョット,Normal,Flying,83,80,80,135,80,121,no-guard,,,50.5,2.2,normal,mega,pidgeot,pidgeotite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10073.png,false,○
ekans,23,Ekans,アーボ,Poison,,35,60,44,40,54,55,intimidate,shed-skin,unnerve,6.9,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,true,○
arbok,24,Arbok,アーボック,Poison,,60,95,69,65,79,80,intimidate,shed-skin,unnerve,65,3.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,false,○
pikachu,25,Pikachu,ピカチュウ,Electric,,35,55,40,50,50,90,static,,lightning-rod,6,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,true,○
raichu,26,Raichu,ライチュウ,Electric,,60,90,55,90,80,110,static,,lightning-rod,30,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,false,○
raichu-alola,26,Raichu-Alola,ライチュウ（アローラのすがた）,Electric,Psychic,60,85,50,95,85,110,surge-surfer,,,21,0.7,normal,variant,raichu,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10100.png,false,○
sandshrew,27,Sandshrew,サンド,Ground,,50,75,85,20,30,40,sand-veil,,sand-rush,12,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,true,○
sandshrew-alola,27,Sandshrew-Alola,サンド（アローラのすがた）,Ice,Steel,50,75,90,10,35,40,snow-cloak,,slush-rush,40,0.7,normal,variant,sandshrew,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10101.png,true,○
sandslash,28,Sandslash,サンドパン,Ground,,75,100,110,45,55,65,sand-veil,,sand-rush,29.5,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,false,○
sandslash-alola,28,Sandslash-Alola,サンドパン（アローラのすがた）,Ice,Steel,75,100,120,25,65,65,snow-cloak,,slush-rush,55,1.2,normal,variant,sandslash,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10102.png,false,○
clefairy,35,Clefairy,ピッピ,Fairy,,70,45,48,60,65,35,cute-charm,magic-guard,friend-guard,7.5,0.6,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,true,○
clefable,36,Clefable,ピクシー,Fairy,,95,70,73,95,90,60,cute-charm,magic-guard,unaware,40,1.3,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,false,○
vulpix,37,Vulpix,ロコン,Fire,,38,41,40,50,65,65,flash-fire,,drought,9.9,0.6,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,true,○
vulpix-alola,37,Vulpix-Alola,ロコン（アローラのすがた）,Ice,,38,41,40,50,65,65,snow-cloak,,snow-warning,9.9,0.6,normal,variant,vulpix,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10103.png,true,○
ninetales,38,Ninetales,キュウコン,Fire,,73,76,75,81,100,100,flash-fire,,drought,19.9,1.1,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,false,○
ninetales-alola,38,Ninetales-Alola,キュウコン（アローラのすがた）,Ice,Fairy,73,67,75,81,100,109,snow-cloak,,snow-warning,19.9,1.1,normal,variant,ninetales,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10104.png,false,○
jigglypuff,39,Jigglypuff,プリン,Normal,Fairy,115,45,20,45,25,20,cute-charm,competitive,friend-guard,5.5,0.5,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,true,○
wigglytuff,40,Wigglytuff,プクリン,Normal,Fairy,140,70,45,85,50,45,cute-charm,competitive,frisk,12,1,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,false,○
